symbol,date,close,currency,fetched_at,source_url
AMD,2021-07-14,89.05000305175781,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-15,86.93000030517578,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-16,85.88999938964844,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-19,86.58000183105469,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-20,87.11000061035156,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-21,89.41000366210938,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-22,91.20999908447266,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-23,92.1500015258789,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-26,91.81999969482422,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-27,91.02999877929688,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-28,97.93000030517578,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-29,102.94999694824219,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-30,106.19000244140625,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-02,108.62999725341797,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-03,112.55999755859375,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-04,118.7699966430664,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-05,112.3499984741211,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-06,110.11000061035156,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-09,107.58000183105469,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-10,106.4800033569336,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-11,107.68000030517578,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-12,106.5,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-13,110.55000305175781,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-16,107.4800033569336,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-17,107.55999755859375,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-18,103.44000244140625,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-19,103.69999694824219,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-20,104.6500015258789,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-23,108.7699966430664,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-24,107.6500015258789,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-25,108.30000305175781,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-26,107.2699966430664,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-27,111.4000015258789,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-30,111.31999969482422,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-08-31,110.72000122070312,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-09-01,109.98999786376953,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-09-02,109.19999694824219,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-09-03,109.91999816894531,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-09-07,109.1500015258789,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-09-08,106.16999816894531,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-09-09,106.1500015258789,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-09-10,105.19999694824219,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
